application,charmer
test-perm,1
test-vault-kv,1
thelounge,1
thingworx-foundation-server,1
topbeat,3
tor-bridge,1
tor-hidden,1
tor-relay,1
trilio-data-mover,3
trilio-data-mover-api,3
trilio-horizon-plugin,3
twister,1
ubuntu,3
ubuntu-devenv,1
ubuntu-lite,1
ubuntu-series-upgrade,1
unattended,1
uosci-dashboard,3
vanilla,1
vault,131
vault-auto-unlock,1
virtual-accelerator-compute,6
virtual-accelerator-network,5
vnflcv,1
vsphere-integrator,2
weebl,1
wireguard,2
zeppelin,16
zookeeper,17
